D,R,N_R,H_R,C_sigma_inerte
-43,405941,10721,1.000000000000,0.341060889339
-43,405961,10885,1.007941649567,0.343534158633
-43,405981,20403,1.895504962055,0.342394082210
-43,406001,11414,1.054246171807,0.344376290710
-43,406021,13974,1.286201945220,0.345564601647
-43,406041,17659,1.666691294721,0.336983685325
-43,406061,10838,1.001177163037,0.344283661603
-43,406081,10777,1.000064026635,0.342711395074
-43,406101,17664,1.666691291083,0.337033154059
-43,406121,10781,1.000497388709,0.342658957663
-43,406141,10704,1.000000000000,0.340365374292
-43,406161,28749,2.603930461073,0.351053173136
-43,406181,10812,1.000083706525,0.343739545541
-43,406201,12026,1.105366554981,0.345903506602
-43,406221,624,1.666666666667,0.011902993550
-43,406241,10798,1.000054155046,0.343257817395
-43,406261,11566,1.069118128494,0.343904929761
-43,406281,17684,1.666691280173,0.337276844417
-43,406301,13997,1.285714285714,0.346044501598
-43,406321,11078,1.033096984896,0.340833288157
-43,406341,20768,1.913907284768,0.344886183222
-43,406361,10705,1.000000000000,0.340227150467
-43,406381,10686,1.000000000000,0.339607870613
-43,406401,17792,1.666666666667,0.339249236424
-43,406421,10832,1.002691790040,0.343292514347
-43,406441,14022,1.285714285714,0.346552405822
-43,406461,18121,1.696165191740,0.339467125732
-43,406481,10766,1.000004920279,0.342070981304
-43,406501,10810,1.000004920037,0.343453414688
-43,406521,20287,1.890310709656,0.340964530623
-43,406541,10768,1.000506713960,0.341916372113
-43,406561,10761,1.000004919311,0.341850045153
-43,406581,25844,2.373069572853,0.345951086138
-43,406601,10694,1.000000000000,0.339692460712
-43,406621,10915,1.014165525145,0.341854197848
-43,406641,18340,1.706357696346,0.341378031270
-43,406661,10695,1.000000000000,0.339677982139
-43,406681,10815,1.000595060994,0.343269385111
-43,406701,21621,1.988446057423,0.345310005280
-43,406721,14002,1.285714285714,0.345838309984
-43,406741,11473,1.054245822280,0.345575463598
-43,406761,17683,1.667674629574,0.336691938809
-43,406781,10740,1.000000000000,0.341014365802
-43,406801,10773,1.000000000000,0.342046660138
-43,406821,17669,1.666691247502,0.336578067240
-43,406841,11685,1.068965517241,0.347035832948
-43,406861,14140,1.295491580663,0.346500940308
-43,406881,20312,1.888888888889,0.341362793316
-43,406901,11171,1.032115920089,0.343568855595
-43,406921,10819,1.000525900605,0.343233212596
-43,406941,17784,1.666666666667,0.338681541589
-43,406961,12053,1.105366361887,0.346082826356
-43,406981,10810,1.000004914234,0.343079687468
-43,407001,23021,2.142857142857,0.340943741215
-43,407021,10988,1.010471204188,0.345085552335
-43,407041,10788,1.000289897087,0.342237374813
-43,407061,20239,1.888888888889,0.339997193742
-43,407081,375,1.000211260167,0.011896317231
-43,407101,10994,1.012738853503,0.344438416929
-43,407121,18382,1.712328767123,0.340595769223
-43,407141,14697,1.334606438556,0.349373077848
-43,407161,10870,1.000230866905,0.344765314813
-43,407181,17688,1.666691225769,0.336665159859
-43,407201,10877,1.001419446416,0.344546643033
-43,407221,10719,1.000000000000,0.340008290784
-43,407241,21195,1.963223251097,0.342435901271
-43,407261,10872,1.000112949681,0.344791280487
-43,407281,14079,1.285714285714,0.347299009537
-43,407301,18204,1.694410276429,0.340725612032
-43,407321,10743,1.000000000000,0.340692389182
-43,407341,12106,1.105263157895,0.347337887669
-43,407361,17794,1.666666666667,0.338549633095
-43,407381,10817,1.000063822319,0.342970646874
-43,407401,10758,1.000004909168,0.341104600917
-43,407421,28999,2.619342154675,0.351017921058
-43,407441,10908,1.010524223139,0.342229334452
-43,407461,10895,1.007676808333,0.342771839880
-43,407481,18866,1.756756756757,0.340445576440
-43,407501,10790,1.000004907963,0.342041770496
-43,407521,10737,1.000000000000,0.340347936004
-43,407541,18939,1.747591039920,0.343508698744
-43,407561,14084,1.285714285714,0.347202136550
-43,407581,10870,1.000201187003,0.344447755299
-43,407601,20218,1.888888888889,0.339229256128
-43,407621,10761,1.000000000000,0.341031497028
-43,407641,10736,1.000000000000,0.340223810347
-43,407661,17751,1.666691196852,0.337497240316
-43,407681,10776,1.000000000000,0.341460498059
-43,407701,14048,1.285714285714,0.346204939593
-43,407721,19898,1.842105263158,0.342246140351
-43,407741,10780,1.000000000000,0.341540871995
-43,407761,10739,1.000000000000,0.340226479595
-43,407781,21293,1.962962962963,0.343644474858
-43,407801,10810,1.000004904353,0.342443186809
-43,407821,10703,1.000000000000,0.339039923421
-43,407841,23153,2.143077817090,0.342211813308
-43,407861,10700,1.000000000000,0.338914223932
-43,407881,10803,1.000083357646,0.342132670359
-43,407901,17861,1.666666666667,0.339409306074
-43,407921,10748,1.000000000000,0.340388388976
-43,407941,382,1.011173184358,0.011963692840
-43,407961,20379,1.888972230189,0.341637148052
-43,407981,14108,1.293082275890,0.345483604049
-43,408001,11686,1.070637081772,0.345614622540
-43,408021,18076,1.685538244355,0.339556922689
-43,408041,10691,1.000000000000,0.338491336253
-43,408061,10863,1.005141388175,0.342162344151
-43,408081,17775,1.666691171606,0.337632641009
-43,408101,12150,1.110100195785,0.346484980469
-43,408121,14642,1.326849145229,0.349324891234
-43,408141,20570,1.897302647859,0.343185336395
-43,408161,10788,1.000063700354,0.341448087315
-43,408181,10705,1.000000000000,0.338827342141
-43,408201,17799,1.666666666667,0.338001788992
-43,408221,11581,1.054054054054,0.347724821749
-43,408241,10788,1.000004899067,0.341406428694
-43,408261,23220,2.143077590071,0.342876385776
-43,408281,10862,1.002728512960,0.342783620342
-43,408301,10713,1.000000000000,0.338988609120
-43,408321,22431,2.044433178798,0.347160327069
-43,408341,10734,1.000000000000,0.339622410134
-43,408361,10831,1.000004897627,0.342674314927
-43,408381,17813,1.671490593343,0.337154244986
-43,408401,14093,1.285714285714,0.346764684408
-43,408421,11174,1.022471910112,0.345711270822
-43,408441,17843,1.666666666667,0.338653651427
-43,408461,10748,1.000000000000,0.339973193670
-43,408481,12049,1.105365977855,0.344780194056
-43,408501,20364,1.888888888889,0.340984358344
-43,408521,10737,1.000000000000,0.339579228640
-43,408541,14014,1.285758344940,0.344700021211
-43,408561,17866,1.666666666667,0.338998295034
-43,408581,12070,1.098252243741,0.347539755313
-43,408601,10769,1.000000000000,0.340529769354
-43,408621,17734,1.666691139222,0.336443136443
-43,408641,11099,1.012269938650,0.346679367894
-43,408661,10980,1.005221932115,0.345351430325
-43,408681,26738,2.438305181792,0.346690644876
-43,408701,10853,1.000004893553,0.343106807705
-43,408721,11014,1.018261846100,0.341938223603
-43,408741,17852,1.666666666667,0.338595024938
-43,408761,11304,1.032786885246,0.345974645696
-43,408781,10760,1.000000000000,0.340106949371
-43,408801,617,1.667718523193,0.011693541004
-43,408821,14090,1.285714285714,0.346362250325
-43,408841,10790,1.000000000000,0.341009024371
-43,408861,23871,2.169590643275,0.347710367988
-43,408881,10801,1.000053805386,0.341307496209
-43,408901,10789,1.000000000000,0.340931258884
-43,408921,17826,1.666666666667,0.337964577723
-43,408941,10769,1.000000000000,0.340268551034
-43,408961,14954,1.355212355212,0.348639719116
-43,408981,17866,1.666666666667,0.338677093770
-43,409001,10869,1.000259168070,0.343292802941
-43,409021,10820,1.000004889724,0.341816635355
-43,409041,20369,1.888888888889,0.340652642417
-43,409061,10939,1.000523149359,0.345365821162
-43,409081,10825,1.000004889007,0.341928315460
-43,409101,24232,2.210884353741,0.346188733557
-43,409121,10874,1.000004888529,0.343445091176
-43,409141,10851,1.000386174937,0.342572583503
-43,409161,19266,1.781609195402,0.341515205580
-43,409181,10897,1.007194859976,0.341668388602
-43,409201,10781,1.000000000000,0.340448018701
-43,409221,20500,1.892295361186,0.342087431339
-43,409241,15759,1.421052631579,0.350163675050
-43,409261,10857,1.000004886857,0.342799936982
-43,409281,18168,1.686946132364,0.340031650697
-43,409301,10909,1.002751031637,0.343467526276
-43,409321,10790,1.000000000000,0.340640062708
-43,409341,17769,1.666691096177,0.336560057939
-43,409361,10969,1.013992539592,0.341481674090
-43,409381,14216,1.296750459841,0.346048167270
-43,409401,21572,1.978238939328,0.344197443263
-43,409421,10884,1.001958863859,0.342858595904
-43,409441,10779,1.000000000000,0.340200775942
-43,409461,17843,1.666984157221,0.337810900345
-43,409481,10737,1.000000000000,0.338844654022
-43,409501,10857,1.001382170007,0.342143346175
-43,409521,23207,2.143076911807,0.341711654100
-43,409541,10868,1.000000000000,0.342932470032
-43,409561,10935,1.000112315382,0.344992316520
-43,409581,20404,1.888888888889,0.340822884218
-43,409601,11042,1.013422818792,0.343761584982
-43,409621,12160,1.105263157895,0.347095190541
-43,409641,17797,1.666691078286,0.336862634831
-43,409661,487,1.287603652776,0.011931316057
-43,409681,10920,1.001117942985,0.344079992955
-43,409701,18937,1.756756756757,0.340018082320
-43,409721,10777,1.000000000000,0.339923187335
